"title","url","img_url","author","rate","votes_num","comments_num"
"水浒传（全二册）","https://book.douban.com/subject/1008357/","https://img1.doubanio.com/view/subject/s/public/s1436519.jpg","罗贯中；施耐庵","8.7","71575","8524"
"永恒的终结","https://book.douban.com/subject/25829693/","https://img2.doubanio.com/view/subject/s/public/s27409671.jpg","[美]艾萨克·阿西莫夫；崔正男","9.1","39361","15298"
"江城","https://book.douban.com/subject/7060185/","https://img9.doubanio.com/view/subject/s/public/s32271204.jpg","[美国]彼得·海斯勒；李雪顺","9.1","54921","20083"
"沉默的大多数","https://book.douban.com/subject/1054685/","https://img1.doubanio.com/view/subject/s/public/s1447349.jpg","王小波","9.1","138457","22014"
"活着","https://book.douban.com/subject/4913064/","https://img9.doubanio.com/view/subject/s/public/s27279654.jpg","余华","9.4","728683","174779"
"浪潮之巅","https://book.douban.com/subject/6709783/","https://img9.doubanio.com/view/subject/s/public/s6807265.jpg","吴军","9","31921","9291"
"浮生六记","https://book.douban.com/subject/1088581/","https://img9.doubanio.com/view/subject/s/public/s2280094.jpg","（清）沈复","8.7","65380","15654"
"海子的诗","https://book.douban.com/subject/1011754/","https://img2.doubanio.com/view/subject/s/public/s1067491.jpg","海子","9","42792","6933"
"海的女儿","https://book.douban.com/subject/1765512/","https://img9.doubanio.com/view/subject/s/public/s4133656.jpg","安徒生；叶君健","9.2","20272","2349"
"海风中失落的血色馈赠","https://book.douban.com/subject/26357614/","https://img2.doubanio.com/view/subject/s/public/s28061231.jpg","[加拿大]阿利斯泰尔·麦克劳德；陈以侃","9.1","17601","7312"
"消失的13级台阶","https://book.douban.com/subject/34996429/","https://img1.doubanio.com/view/subject/s/public/s34070178.jpg","[日]高野和明；赵建勋","8.6","73414","28216"
"温柔的夜","https://book.douban.com/subject/2068249/","https://img1.doubanio.com/view/subject/s/public/s2391798.jpg","三毛","9.1","21642","2854"
"渴望生活","https://book.douban.com/subject/3054821/","https://img1.doubanio.com/view/subject/s/public/s3099438.jpg","[美]欧文·斯通；常涛","9.2","11139","2847"
"激荡三十年（上）","https://book.douban.com/subject/1970428/","https://img3.doubanio.com/view/subject/s/public/s10431840.jpg","吴晓波","8.8","30167","5605"
"火星救援","https://book.douban.com/subject/26586492/","https://img1.doubanio.com/view/subject/s/public/s28284337.jpg","[美]安迪·威尔；陈灼","8.9","17647","6462"
"灿烂千阳","https://book.douban.com/subject/2143732/","https://img9.doubanio.com/view/subject/s/public/s2651394.jpg","[美]卡勒德·胡赛尼；李继宏","8.9","113202","26175"
"爱你就像爱生命","https://book.douban.com/subject/3071717/","https://img2.doubanio.com/view/subject/s/public/s4661043.jpg","李银河；王小波","8.8","107601","28072"
"爱的艺术","https://book.douban.com/subject/3026879/","https://img9.doubanio.com/view/subject/s/public/s2990934.jpg","[美国]艾·弗洛姆；李健鸣","8.8","42576","13606"
"牡丹亭","https://book.douban.com/subject/1073708/","https://img9.doubanio.com/view/subject/s/public/s1075414.jpg","汤显祖","9","13019","2769"
"献给阿尔吉侬的花束","https://book.douban.com/subject/26362836/","https://img3.doubanio.com/view/subject/s/public/s28050760.jpg","[美]丹尼尔·凯斯；陈澄和","9.1","74916","30226"
"王尔德童话","https://book.douban.com/subject/1119839/","https://img9.doubanio.com/view/subject/s/public/s2019056.jpg","[英]王尔德；王林","9.1","21749","4650"
"现代艺术150年","https://book.douban.com/subject/26854318/","https://img9.doubanio.com/view/subject/s/public/s29417056.jpg","[英]威尔·贡培兹；王烁；王同乐","9.2","12558","4059"
